name,connector_id,connectors,kilowatts,kwt,price_per_kwt,station_ids,image_url,prices,location_id
Розетка RU/Euro,17.0,"[{'station_id': 2627, 'connector_id': 17, 'kilowatts': None, 'created_at': '2022-04-18T18:30:53.268+02:00', 'updated_at': '2022-04-18T18:30:53.268+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': '4165f1a4-7829-4a88-8c06-121024232709', 'address_id': 1675, 'is_cable': False, 'connector_type': 0, 'prices': []}]",,,,[2627],https://2chargers.net/uploads/connectors/WallEuro.png,[],1675
Type 2,7.0,"[{'station_id': 234700981, 'connector_id': 7, 'kilowatts': 22, 'created_at': '2022-11-20T12:12:09.410+01:00', 'updated_at': '2022-11-20T12:12:09.410+01:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': True, 'id': '77baad47-5aad-4d38-a968-f6e34488b2e6', 'address_id': 9935, 'is_cable': True, 'connector_type': 1, 'prices': []}]",22,22,,[234700981],https://2chargers.net/uploads/connectors/Type2.png,[],9935
CHAdeMO,3.0,"[{'station_id': 234700981, 'connector_id': 3, 'kilowatts': 20, 'created_at': '2022-11-20T12:12:09.414+01:00', 'updated_at': '2022-11-20T12:12:09.414+01:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': True, 'id': '276f26e7-f62d-4bd0-a4a8-5a5db2d68058', 'address_id': 9935, 'is_cable': True, 'connector_type': 1, 'prices': []}]",20,20,,[234700981],https://2chargers.net/uploads/connectors/Chademo.png,[],9935
CCS 2,37.0,"[{'station_id': 234700981, 'connector_id': 37, 'kilowatts': 20, 'created_at': '2022-11-20T12:12:09.418+01:00', 'updated_at': '2022-11-20T12:12:09.418+01:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': True, 'id': '21f1830a-d356-4334-af90-8602bbbbd906', 'address_id': 9935, 'is_cable': True, 'connector_type': 1, 'prices': []}]",20,20,,[234700981],https://2chargers.net/uploads/connectors/Ccs2.png,[],9935
Розетка RU/Euro,17.0,"[{'station_id': 919, 'connector_id': 17, 'kilowatts': None, 'created_at': '2022-04-18T18:30:49.335+02:00', 'updated_at': '2022-04-18T18:30:49.335+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': '79a05e2c-47b8-4e05-a93d-08607d5a1851', 'address_id': 666, 'is_cable': False, 'connector_type': 0, 'prices': []}]",,,,[919],https://2chargers.net/uploads/connectors/WallEuro.png,[],666
Type 2,7.0,"[{'station_id': 106132622, 'connector_id': 7, 'kilowatts': None, 'created_at': '2022-07-31T20:29:14.260+02:00', 'updated_at': '2022-09-29T15:10:27.928+02:00', 'is_disabled': False, 'price': 5, 'is_busy_by_provider': False, 'id': 'f5e2371f-51e3-4bb5-b022-b6e306690457', 'address_id': 37300, 'is_cable': False, 'connector_type': 0, 'prices': [{'type': 'per_kwt', 'value': 5, 'minutes': 0, 'currencyId': 1}]}]",,,5,[106132622],https://2chargers.net/uploads/connectors/Type2.png,"[{'type': 'per_kwt', 'value': 5, 'minutes': 0, 'currency_id': 1, 'title': '5₽/кВт·ч'}]",37300
Розетка RU/Euro,17.0,"[{'station_id': 2960, 'connector_id': 17, 'kilowatts': None, 'created_at': '2022-04-18T18:30:53.929+02:00', 'updated_at': '2022-04-18T18:30:53.929+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': 'c4f618bc-1a39-4c19-a80a-46ba87ccb0a0', 'address_id': 1842, 'is_cable': False, 'connector_type': 0, 'prices': []}]",,,,[2960],https://2chargers.net/uploads/connectors/WallEuro.png,[],1842
Розетка RU/Euro,17.0,"[{'station_id': 3545, 'connector_id': 17, 'kilowatts': None, 'created_at': '2022-04-18T18:30:55.038+02:00', 'updated_at': '2022-04-18T18:30:55.038+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': 'aea802e9-f7a7-4142-9c54-d25e31db3268', 'address_id': 2177, 'is_cable': False, 'connector_type': 0, 'prices': []}]",,,,[3545],https://2chargers.net/uploads/connectors/WallEuro.png,[],2177
CCS 2,37.0,"[{'station_id': 37151346, 'connector_id': 37, 'kilowatts': 50, 'created_at': '2022-06-10T06:30:18.253+02:00', 'updated_at': '2022-06-10T06:30:18.253+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': 'e56aaf63-31d0-41ed-8fb1-a27942947dac', 'address_id': 1978, 'is_cable': False, 'connector_type': 0, 'prices': []}]",50,50,,[37151346],https://2chargers.net/uploads/connectors/Ccs2.png,[],1978
CHAdeMO,3.0,"[{'station_id': 37151347, 'connector_id': 3, 'kilowatts': 50, 'created_at': '2022-06-10T06:30:18.255+02:00', 'updated_at': '2022-06-10T06:30:18.255+02:00', 'is_disabled': False, 'price': None, 'is_busy_by_provider': False, 'id': 'c2d358e8-db69-464a-af8d-60faf8afdf18', 'address_id': 1978, 'is_cable': False, 'connector_type': 0, 'prices': []}]",50,50,,[37151347],https://2chargers.net/uploads/connectors/Chademo.png,[],1978
