location_id,traffic
1675,{1: {}}
9935,"{1: {'03:00': 2, '04:00': 1, '13:00': 2, '15:00': 2, '16:00': 1, '18:00': 1}, 2: {'03:00': 2, '04:00': 1, '15:00': 2, '16:00': 1}, 3: {'03:00': 2, '04:00': 1, '15:00': 2, '16:00': 3, '18:00': 3, '19:00': 5, '21:00': 3, '22:00': 3}, 4: {'00:00': 4, '01:00': 3, '03:00': 3, '04:00': 3, '06:00': 3, '07:00': 3, '09:00': 6, '10:00': 3, '12:00': 3, '13:00': 3, '15:00': 3, '16:00': 3, '18:00': 3, '21:00': 3}, 5: {'06:00': 3, '09:00': 3, '18:00': 3, '21:00': 3}, 6: {'03:00': 2, '04:00': 3, '06:00': 6, '07:00': 3, '10:00': 3, '12:00': 3, '13:00': 3, '15:00': 3, '16:00': 3, '18:00': 6, '19:00': 3, '21:00': 3, '22:00': 3}, 7: {'00:00': 3, '01:00': 3, '03:00': 3, '04:00': 1, '07:00': 3, '15:00': 2, '16:00': 1}}"
666,{1: {}}
37300,{1: {}}
1842,{1: {}}
2177,{1: {}}
1978,"{1: {}, 2: {}, 3: {}, 4: {}, 5: {}, 6: {'17:00': 1}, 7: {}}"
660,{1: {}}
2112,{1: {}}
1959,{1: {}}
1995,{1: {}}
9434,"{1: {'08:00': 1, '11:00': 1, '23:00': 1}, 2: {'13:00': 1, '21:00': 1}, 3: {'09:00': 1}, 4: {'11:00': 1, '12:00': 1}, 5: {'00:00': 1, '07:00': 1, '12:00': 1}, 6: {'00:00': 2, '05:00': 1, '12:00': 1}, 7: {'00:00': 2, '04:00': 2, '05:00': 1, '08:00': 1, '11:00': 2, '12:00': 1, '23:00': 1}}"
