id,name,alias,created_at,updated_at,model,group,is_popular,is_moderated,added_by_user_id,connector_ids/0,connector_ids/1,connector_ids/2,connector_ids/3,connector_ids/4,connector_ids/5,connector_ids/6,connector_ids/7,connector_ids/8,connector_ids/9,connector_ids/10,connector_ids/11
2,Nissan Leaf,nissan_leaf,2022-04-18T18:30:46.499+02:00,2022-04-18T18:30:46.499+02:00,Leaf,Nissan,false,true,,,,,,,,,,,,,
456,Hongqi,hongqi_e_hs9,,,E-HS9,Hongqi,false,true,,4,7,16,2,17,18,,,,,,
457,Mitsubishi,Mitsubishi_Outlander,,,Outlander PHEV (Plag-in-gibrid),Mitsubishi,false,true,,4,7,16,2,17,18,,,,,,
458,Chery,Chery_eQ5,,,eQ5,Chery,false,true,,4,7,16,2,17,18,,,,,,
3,Nissan LEAF,nissan_leaf,2022-04-20T11:35:30.128+02:00,2022-04-20T11:38:11.988+02:00,LEAF,Nissan,false,true,,9,4,7,3,16,17,15,18,,,,
4,Chevrolet Volt,chevrolet_volt,2022-04-20T11:35:30.133+02:00,2022-04-20T11:38:11.992+02:00,Volt,Chevrolet,false,true,,9,4,7,16,17,15,18,,,,,
5,Tesla Roadster,tesla_roadster,2022-04-20T11:35:30.135+02:00,2022-04-20T11:38:11.993+02:00,Roadster,Tesla,false,true,,9,4,14,6,7,16,17,15,18,,,
6,Tesla Model S,tesla_model_s,2022-04-20T11:35:30.136+02:00,2022-04-20T11:38:11.994+02:00,Model S,Tesla,false,true,,9,7,16,2,1,17,15,18,1,,,
7,Mitsubishi i-MiEV,mitsubishi_i-miev,2022-04-20T11:35:30.138+02:00,2022-04-20T11:38:11.996+02:00,i-MiEV,Mitsubishi,false,true,,4,7,3,16,17,15,18,,,,,
8,BMW ActiveE,bmw_activee,2022-04-20T11:35:30.140+02:00,2022-04-20T11:38:11.997+02:00,ActiveE,BMW,false,true,,4,7,16,17,15,18,,,,,,
9,Ford Focus Electric,ford_focus_electric,2022-04-20T11:35:30.141+02:00,2022-04-20T11:38:11.998+02:00,Focus Electric,Ford,false,true,,4,7,16,17,15,18,,,,,,
10,Honda Fit EV,honda_fit_ev,2022-04-20T11:35:30.143+02:00,2022-04-20T11:38:12.000+02:00,Fit EV,Honda,false,true,,4,7,16,17,15,18,,,,,,
11,Prius Plug-In Hybrid,prius_plug-in_hybrid,2022-04-20T11:35:30.144+02:00,2022-04-20T11:38:12.001+02:00,Prius Plug-In Hybrid,Toyota,false,true,,7,16,17,15,18,,,,,,,
12,CODA Sedan,coda_sedan,2022-04-20T11:35:30.146+02:00,2022-04-20T11:38:12.002+02:00,Sedan,CODA,false,true,,4,7,16,17,15,18,,,,,,
13,Fisker Karma,fisker_karma,2022-04-20T11:35:30.147+02:00,2022-04-20T11:38:12.003+02:00,Karma,Fisker,false,true,,4,7,16,17,15,18,,,,,,
14,Ford C-MAX Energi,ford_c-max_energi,2022-04-20T11:35:30.149+02:00,2022-04-20T11:38:12.004+02:00,C-MAX Energi,Ford,false,true,,4,7,16,17,15,18,,,,,,
15,Ford Fusion Energi,ford_fusion_energi,2022-04-20T11:35:30.150+02:00,2022-04-20T11:38:12.005+02:00,Fusion Energi,Ford,false,true,,4,7,16,17,15,18,,,,,,
16,Toyota RAV4 EV,toyota_rav4_ev,2022-04-20T11:35:30.152+02:00,2022-04-20T11:38:12.006+02:00,RAV4 EV,Toyota,false,true,,4,7,16,17,15,18,,,,,,
18,Smart Fortwo ED,smart_fortwo_ed,2022-04-20T11:35:30.155+02:00,2022-04-20T11:38:12.009+02:00,ED,Smart,false,true,,4,7,16,17,15,18,,,,,,
1,Tesla Model 3,tesla_model_3,2022-04-18T18:30:46.494+02:00,2022-04-20T11:38:12.054+02:00,Model 3,Tesla,false,true,,9,7,16,2,1,17,15,18,1,,,
93,Mercedes SLS,mercedes_sls,2022-04-20T11:35:30.262+02:00,2022-04-20T11:38:12.082+02:00,SLS,Mercedes,false,true,,15,18,12,,,,,,,,,
103,Mercedes A250e,mercedes_a250e,2022-04-20T11:35:30.276+02:00,2022-04-20T11:38:12.091+02:00,A250e,Mercedes,false,true,,4,7,12,15,18,,,,,,,
104,MAN eTGE,man_etge,2022-04-20T11:35:30.277+02:00,2022-04-20T11:38:12.092+02:00,eTGE,MAN,false,true,,15,18,12,,,,,,,,,
157,Peugeot e-208,peugeot_e-208,2022-04-20T11:35:30.366+02:00,2022-04-20T11:38:12.142+02:00,e-208,Peugeot,false,true,,7,16,2,17,18,,,,,,,
79,Song E300/E400/E500,song_e300/e400/e500,2022-04-20T11:35:30.242+02:00,2022-04-20T11:38:12.070+02:00,Song E300/E400,BYD,false,true,,4,7,12,16,2,17,15,18,,,,
80,LR Range Rover Sport,lr_range_rover_sport,2022-04-20T11:35:30.243+02:00,2022-04-20T11:38:12.071+02:00,Range Rover Sport,LR,false,true,,15,18,12,,,,,,,,,
81,Xiaopeng XPeng G3,xiaopeng_xpeng_g3,2022-04-20T11:35:30.245+02:00,2022-04-20T11:38:12.072+02:00,XPeng G3,Xiaopeng,false,true,,7,12,16,2,17,15,18,,,,,
82,BYD e5,byd_e5,2022-04-20T11:35:30.246+02:00,2022-04-20T11:38:12.073+02:00,e5,BYD,false,true,,7,14,12,2,15,18,,,,,,
83,Chery Tiggo 3xe,chery_tiggo_3xe,2022-04-20T11:35:30.247+02:00,2022-04-20T11:38:12.073+02:00,Tiggo 3xe,Chery,false,true,,7,12,2,15,18,,,,,,,
84,BYD F3 DM,byd_f3_dm,2022-04-20T11:35:30.249+02:00,2022-04-20T11:38:12.074+02:00,F3 DM,BYD,false,true,,15,18,12,,,,,,,,,
85,Honda e,honda_e,2022-04-20T11:35:30.250+02:00,2022-04-20T11:38:12.075+02:00,e,Mini,false,true,,4,7,12,15,18,,,,,,,
86,Seat Altea,seat_altea,2022-04-20T11:35:30.251+02:00,2022-04-20T11:38:12.076+02:00,Altea,Seat,false,true,,15,18,12,,,,,,,,,
