connectors/id,connectors/name,connectors/image_url,connectors/extra/explanation,connectors/extra/has_multiple_type,connectors/extra/color_scheme,companies/id,companies/name,companies/image_url,stationTypes/id,stationTypes/name,stationTypes/image_url,availableList/id,availableList/name,priceTypes/id,priceTypes/name,priceConditions/id,priceConditions/name,priceConditions/description,currencies/id,currencies/name
2,CCS,https://2chargers.net/uploads/connectors/Ccs.png,Неопределенно CCS1 или CCS2,false,#FE6E00,45,ЭЗС СК,https://2chargers.net/uploads/companies/2022-11-10/04f40ebf-a0cf-4edb-9204-0c43fd53c99b.png,0,Публичные,assets/icons/stations/public_station.png,0,Работает,per_kwt,За кВт,BUY_PARKING,Если пользователь оплатил парковку,для гостей отеля,1,Русский рубль
37,CCS 2,https://2chargers.net/uploads/connectors/Ccs2.png,Точно — Европейский CCS/SAE Combo 2,false,#FE6E00,44,EV Georgia,https://2chargers.net/uploads/companies/2022-08-23/2a810ba3-63f9-462f-9f0a-2381a5a2cc22.png,1,Домашние,assets/icons/stations/home_station.png,1,Не работает,per_time,За время,HOTEL_GUEST,Если пользователь постоялец отеля,для гостей отеля,2,Белорусский рубль
38,CCS 1,https://2chargers.net/uploads/connectors/Ccs1.png,Точно — Американский CCS/SAE Combo 1,false,#FE6E00,42,РСК Сети,https://2chargers.net/uploads/companies/2022-09-16/5493007e-0afa-4fd6-be50-fa70578dfd5c.png,,,,2,На ремонте,one_time_payment,Разовая оплата,WHILE_TESTING,Станция тестируется,станция в режиме тестирования,3,Грузинский лари
3,CHAdeMO,https://2chargers.net/uploads/connectors/Chademo.png,"Любой, первой или второй ревизии",false,#FE6E00,41,РусГидро,https://2chargers.net/uploads/companies/2022-09-16/90963ba5-284d-4baf-91a8-15a519677ce0.png,,,,3,Скоро открытие,free,Бесплатно,,,,,
39,Tesla Supercharger Type 2,https://2chargers.net/uploads/connectors/TeslaFast.EU.Type2.png,EU: с разъемом как Type 2 (есть в Сколково),false,#FE6E00,40,EV-Time,https://2chargers.net/uploads/companies/2022-09-01/027e28b8-e0c2-4bfc-be75-e03527e72d2b.png,,,,,,,,,,,,
41,Tesla Supercharger US,https://2chargers.net/uploads/connectors/TeslaFast.US.png,US: под американский разъем (есть в Сколково),false,#FE6E00,39,EV Russia,https://2chargers.net/uploads/companies/2022-08-23/2a810ba3-63f9-462f-9f0a-2381a5a2cc22.png,,,,,,,,,,,,
40,Tesla Supercharger CCS 2,https://2chargers.net/uploads/connectors/TeslaFast.EU.CCS2.png,EU: с разъемом CCS 2,false,#FE6E00,38,СУЭНКО.electrocar,https://2chargers.net/uploads/companies/2022-08-12/80e0221a-f9ba-431e-8980-82dbbd288389.png,,,,,,,,,,,,
1,Tesla Supercharger (unsorted),https://2chargers.net/uploads/connectors/TeslaFast.png,Не рассортированные разъемы Supercharger. Это один из: Type 2 / CCS / US / GB/T,false,#FE6E00,37,VoltFuel,https://2chargers.net/uploads/companies/2022-08-03/7d1f10b5-fe94-474e-ab05-bb976c64afd0.png,,,,,,,,,,,,
50,Type1/Type2(Multi),https://2chargers.net/uploads/connectors/multi.type2.type1.png,,true,#03C03C,36,Rostok,https://2chargers.net/uploads/companies/2022-08-03/34271e70-0ef5-47e7-b219-8e405a47040d.png,,,,,,,,,,,,
7,Type 2,https://2chargers.net/uploads/connectors/Type2.png,"Разъём переменного тока, розетка или кабель",true,#03C03C,35,ELECTROCARS,https://2chargers.net/uploads/companies/2022-08-03/8521b571-9ee4-44e4-add4-ca3925d97dad.png,,,,,,,,,,,,
4,Type 1,https://2chargers.net/uploads/connectors/J1772.png,"Он же, J-1772",false,#03C03C,34,Volt,https://2chargers.net/uploads/companies/2022-08-03/394a49a8-69db-4c7b-a589-74639765501e.png,,,,,,,,,,,,
17,Розетка RU/Euro,https://2chargers.net/uploads/connectors/WallEuro.png,"Обычная розетка 230V под 16А, часто упоминаемая как ""Евро"" или ""Шуко"" (Schuko)",false,#005B96,32,RosSeti,https://2chargers.net/uploads/companies/2022-08-03/c39c1785-bac7-43f6-aff5-8b80b9cf5328.png,,,,,,,,,,,,
