id,name,address,description,locked,under_repair,working_hours,working_all_time,phone,latitude,longitude,url,paid,paid_value,paid_description,accessibility_id,score,plug_share_id,created_at,updated_at,company_id,provider_id,provider_type,available_id,deleted_at,user_id,is_fast,is_single_charging_station,country_id,area_id,city_id,is_geo_processed,is_hidden,is_disappeared_in_provider,landing_url_button_action,icon_type,exist_connectors/0,is_new,preview_photo,connector_stats/all,connector_stats/busy,connector_stats/failed,color_availability_scheme,available_for_humans,serving_company/id,serving_company/name,serving_company/url,serving_company/phone,serving_company/email,serving_company/google_play_url,serving_company/app_store_url,serving_company/party_id,serving_company/user_id,serving_company/is_messages_enabled,serving_company/image_url,exist_connectors/1,exist_connectors/2,exist_connectors/3,exist_connectors/4
37593,Энергия Москвы №258,"Москва, З. и А. Космодемьянских, 11/15с1А",,false,false,24/7,true,,55.82198611859932,37.51416385173766,,false,,,0,,,2022-08-26T21:01:45.254+02:00,2022-10-16T15:48:00.824+02:00,8,502e4a16930e414107ee22b6198c578f,EnergyOfMoscow,0,,,false,false,1,10,1666,true,false,false,https://moscowtransport.app/echarge?id=258&referer=yandex_maps,public_station,Type 2,false,,1,0,0,#03C03C,Работает,8,Энергия Москвы,https://transport.mos.ru/electro,84955395454,electro@mos.ru,https://play.google.com/store/apps/details?id=ru.mosgorpass&hl=ru,https://apps.apple.com/ru/app/id1227002793?mt=8,EOM,5419,false,https://2chargers.net/uploads/companies/2022-08-24/f58713ea-0c3c-4021-8afc-97bad5d2f5d7.png,,,,
8928,Ул. Терехина 11 (Vityaz),"Могилев, Октябрьский район, Ул. Терехина 11",,false,false,,false,,53.88083974641256,30.368023439358158,,false,,,0,,,2022-05-17T19:59:02.439+02:00,2022-11-16T22:03:35.940+01:00,13,168485,malanka,0,,,true,false,5,227,1689,true,false,false,,public_station_fast,CCS 2,false,,2,0,0,#FE6E00,Работает,13,Malanka,https://malankabn.by/,+375296431431,malanka@beloil.by,https://play.google.com/store/apps/details?id=by.belorusneft.driverapp&hl=ru,https://apps.apple.com/by/app/malanka/id1496577413,MAL,1890,false,https://2chargers.net/uploads/companies/2022-08-03/06ad3d6a-720d-4e22-90c5-67057d941418.png,CHAdeMO,,,
1692,K-Market Tuohitorvi,"Yritystie 1, 82730 Tuupovaara",,false,false,,false,,62.485732,30.618458,,false,,,0,0,246229,2022-04-18T18:30:53.321+02:00,2022-09-29T15:10:26.936+02:00,,,,0,,,false,false,10,137,,true,false,false,,public_station,Type 2,false,,1,0,0,#03C03C,Работает,,,,,,,,,,,,,,,
38229,"ТЦ ""Аура""","Россия, Ярославль, историческая местность Кондакова Слобода",RFID Ярэнерго,false,false,,false,,57.627099,39.870859,,false,,,0,,,2022-09-20T10:58:52.029+02:00,2022-11-16T22:16:03.767+01:00,3,1003,zevs,0,,,false,false,1,103,500,true,false,false,,public_station,Type 1,false,,2,0,0,#03C03C,Работает,3,ZEVS,https://zevs.group/,88002221416,info@rucharge.com,https://play.google.com/store/apps/details?id=com.rucharge.zevs&hl=ru,https://apps.apple.com/ru/app/zevs-%D0%BA%D0%B0%D1%80%D1%82%D0%B0-%D0%B7%D0%B0%D1%80%D1%8F%D0%B4%D0%BE%D0%BA/id1474862938,ZVS,6210,false,https://2chargers.net/uploads/companies/2022-08-03/5a17045f-58de-4e63-835d-c898e3b3daea.png,Розетка RU/Euro,,,
8821,Мариот отель (TZone),"Минск, Центральный район, Пр-т Победителей 20",,false,false,,false,,53.93173836394106,27.511423438416863,,false,,,0,,,2022-05-17T19:47:44.677+02:00,2022-11-16T22:01:10.940+01:00,13,167835,malanka,0,,,false,false,5,11,1667,true,false,false,,public_station,Type 2,false,,6,0,0,#03C03C,Работает,13,Malanka,https://malankabn.by/,+375296431431,malanka@beloil.by,https://play.google.com/store/apps/details?id=by.belorusneft.driverapp&hl=ru,https://apps.apple.com/by/app/malanka/id1496577413,MAL,1890,false,https://2chargers.net/uploads/companies/2022-08-03/06ad3d6a-720d-4e22-90c5-67057d941418.png,,,,
119,,"улица Луговая, 12, Черноголовка, Московская область, Россия, 142432",,false,false,,false,,56.027111,38.285405,,false,,,1,0,288927,2022-04-18T18:30:47.085+02:00,2022-09-29T15:10:26.940+02:00,,,,0,,,false,false,1,7,236,false,false,false,,home_station,Type 2,false,,1,0,0,#03C03C,Работает,,,,,,,,,,,,,,,
1195,Red Wall Restaurant,"Россия, Нижний Новгород, Кожевенная улица, 2","Добро пожаловать на условно ""бесплатную"" зарядную станцую от эко-ресторана авторской кухни Red Wall. Мы входим в Топ-100 лучших ресторанов России по версии международной премии «Пальмовая ветвь». 

Условия: 
Минимальная сумма чека в ресторане для бесплатной зарядки - 1500 рублей в дневное время и 3000 рублей в вечернее. Мы работаем каждый с 10:00 до 00:00. В пятницу и субботу до 02:00. 

Отличная возможность попробовать блюда одного из лучших шеф-поваров года, в ожидании полной зарядки вашего электрокара.",false,false,10:00 - 02:00,false,+79030606226,56.330901662302914,44.00280363857746,,true,,"Минимальная сумма чека в ресторане для ""бесплатной"" зарядки от 1500₽",0,0,344131,2022-04-18T18:30:51.695+02:00,2022-11-06T15:11:28.284+01:00,,,,0,,,false,false,1,61,49,false,false,false,,public_station_paid,Type 2,false,,1,0,0,#03C03C,Работает,,,,,,,,,,,,,,,
1164,АВТОЦЕНТР АСКАТ EV,"Южный бульвар, 22А, Нижний Новгород, Нижегородская область, Россия, 603135","Type 2 
22кВт  32А",false,false,"Не работает 
",false,+79200418148,56.2171,43.867455,,false,,,0,0,285031,2022-04-18T18:30:51.610+02:00,2022-09-29T15:10:26.971+02:00,,,,0,,,false,false,1,61,49,false,false,false,,public_station,Type 2,false,,1,0,0,#03C03C,Работает,,,,,,,,,,,,,,,
549,"АЗС Лукойл Кунакбаевская ул., 16, Учалы, Респ. Башкортостан, Россия, 453700","Кунакбаевская ул., 16, Учалы, Респ. Башкортостан, Россия, 453700",Розетка 220V на АЗС разрешили зарядиться ,false,false,,false,,54.336275,59.366088,,false,,,0,0,263977,2022-04-18T18:30:48.952+02:00,2022-09-29T15:10:26.958+02:00,,,,0,,,false,false,1,100,241,false,false,false,,public_station,Розетка RU/Euro,false,,1,0,0,#005B96,Работает,,,,,,,,,,,,,,,
3893,Kolmen Sähkö,"Kemilänrinne 3, 70300 Kuopio, Finland",,false,false,,false,,62.903433,27.675967,,false,,,0,0,237175,2022-04-18T18:31:00.650+02:00,2022-09-29T15:10:26.959+02:00,,,,0,,,false,false,10,106,,true,false,false,,public_station,Type 2,false,,1,0,0,#03C03C,Работает,,,,,,,,,,,,,,,
