loc_id,name,addr,coords,manufacturer,type_2_num,type_2_power,ccs_num,ccs_power,chademo_num,chademo_power,gbt_num,gbt_power,type_1_num,type_1_power,company,price,working_time,phone,desc,type,country,area,city
38975,"Лукойл, Скандинавия, 192 км, п. Торфяновка","Лукойл, Скандинавия, 192 км, п. Торфяновка","60.607201, 28.009112",,0,0.0,1,150.0,1,60.0,1,90.0,0,0.0,Sitronics,"{'gbt': 20.0, 'ccs': 20.0, 'chademo': 20.0}",24/7,,После поста пограничного контроля (может понадобиться загранпаспорт),public_station_paid_fast,1.0,35.0,
1675,,"ул. Пыталовские Хутора, Пыталово, Псковская обл., Россия, 181410","57.052302, 27.905914",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},,,,home_station,1.0,195.0,341.0
9935,Зарядка Ленэнерго N23,"Россия, Ленинградская область, Выборгский район, Селезнёвское сельское поселение, посёлок Кондратьево","60.621583, 28.163497",,1,22.0,1,20.0,1,20.0,0,0.0,0,0.0,RosSeti,"{'type_2': 22.0, 'ccs': 22.0, 'chademo': 22.0}",,,"#22, #23, пос.Кондратьево, АЗС Татнефть",public_station_paid_fast,1.0,35.0,771.0
666,Ranch,"Россия, Псковская область, Печорский район, муниципальное образование Печоры","57.693853, 27.86853",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},0-24,+79113555555,Туристическая база Ranch. 220 розетка по договоренности. Тел: +79113555555,public_station,1.0,195.0,
1842,Несте,"Кингисеппское ш., 11, Ивангород, Ленинградская обл., Россия, 188490","59.376083, 28.224545",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},0-24,,Розетка в шатре у бензоколонки Несте,public_station,1.0,35.0,531.0
37300,Tesla,"Россия, Псковский район, деревня Загорицы, Окольная улица, 4","57.86031483014521, 28.195321820676327",,1,22.0,0,0.0,0,0.0,0,0.0,0,0.0,,{'type_2': 11.0},,+79113527208,"Gen 3 Wall Connector для европейских и американских моделей Tesla.
При необходимости можно переночевать в дачном домике с видом на реку Великую (имеются: 2 спальных места, телевизор, горячая вода, микроволновка, газовая плита, холодильник, туалет). Стоимость 1 ночи - 1500 руб.
Также предоставляю возможность альтернативной зарядки Вашего автомобиля: буксировка на тросу (рекуперация) 50 руб. - 1 км.",public_station_paid,1.0,195.0,1649.0
2177,"Гостиничный комплекс ""Изборск""","Псковская область, Печорский район, дер. Изборск, ул. Печорская д.13","57.706235, 27.862907",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},0-24,+79217037031,"Розетка 220 в на парковке, предоставляется по просьбе. Можно жить, можно пообедать заехать. 

Стоимость уточняйте у администрации комплекса",public_station,1.0,195.0,1632.0
660,"Туристическая деревня ""Кургала""","Россия, Ленинградская область, Кингисеппский район, река Хаболовка","59.662687, 28.446674",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},0-24,,"Зарядная станция на территории туристической деревни ""Кургала""",public_station,1.0,35.0,
39626,EVT 381,"Ленинградская область, Кингисеппский район, г. Кингисепп, Крикковское шоссе, 69","59.395465, 28.6019617",,0,0.0,1,120.0,1,90.0,1,120.0,0,0.0,EV-Time,"{'gbt': 18.0, 'ccs': 18.0, 'chademo': 18.0}",,,,public_station_paid_fast,1.0,35.0,2027.0
2112,Светогорск. 380в. Парковка У Здания Жкх,"улица Рощинская, 2, Светогорск, Ленинградская обл., Россия, 188990","61.111585, 28.861264",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},,,,public_station,1.0,35.0,373.0
38974,"ТРК Ребус, Железнодорожный тупик, 4, Выборг","Россия, Ленинградская область, Выборг, микрорайон Центральный, посёлок Южный","60.707807, 28.771712",,0,0.0,1,150.0,1,60.0,1,90.0,0,0.0,Sitronics,"{'gbt': 20.0, 'ccs': 20.0, 'chademo': 20.0}",0-24,,,public_station_paid_fast,1.0,35.0,763.0
2171,Charger Station Pskov,"Псковская обл., Псковский р-н, дер. Родина","57.824133, 28.250993",,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,{},9.00-21.00,,,home_station,1.0,195.0,927.0
